,context_word,collocate_count,total_count,MI-score
188,getting,2,20,10.852399460723268
189,because,2,128,13.530471365835908
190,gratefully,1,3,9.115433866557062
191,dashed,1,16,11.530471365835906
192,so,9,1107,14.472985871175148
193,isola,2,138,13.638995822614076
194,anathemas,1,1,7.530471365835907
195,touch,1,29,12.38845236096348
196,faint,1,20,11.85239946072327
197,though,3,226,13.765687827529938
198,he,19,2143,14.347959987068869
199,will,2,487,15.45824932791825
200,fright,1,9,10.70039636727822
201,walking,1,12,11.115433866557062
202,feel,1,57,13.363361380000647
203,about,2,271,14.612620407189779
204,conceited,1,4,9.530471365835906
205,enormous,1,6,10.115433866557062
206,back,2,185,14.06185282635222
207,starved,1,6,10.115433866557062
208,trailing,1,2,8.530471365835908
209,only,4,388,14.130384208023035
210,shuts,1,2,8.530471365835908
211,clara,2,246,14.472985871175148
212,bad,1,38,12.778398879279493
213,excursion,1,3,9.115433866557062
214,dang,3,11,9.404940483752048
215,cannot,1,103,14.216971893019126
216,either,1,42,12.922788788614668
217,down,4,246,13.472985871175148
218,anxious,1,11,10.989902984473204
219,roving,1,7,10.337826287893511
220,glades,1,2,8.530471365835908
221,detests,1,1,7.530471365835907
222,woolled,1,1,7.530471365835907
223,around,1,56,13.337826287893511
224,papa,1,34,12.617934207086245
225,true,1,106,14.258391820399106
226,consider,1,8,10.530471365835906
227,shame,1,18,11.700396367278218
228,lungs,1,3,9.115433866557062
229,track,1,17,11.617934207086245
230,long,1,323,15.86586172052983
231,moss,1,6,10.115433866557062
232,nose,2,23,11.05403332189292
233,dreadful,1,16,11.530471365835906
234,vivisection,1,4,9.530471365835906
235,girt,3,14,9.752863787172355
236,off,1,182,15.038266006034604
237,mrs,1,339,15.93561282897225
238,island,1,26,12.230911083976999
239,makes,1,19,11.778398879279493
240,gifted,1,3,9.115433866557062
241,lets,1,4,9.530471365835906
242,really,1,19,11.778398879279493
243,tricks,1,2,8.530471365835908
244,am,1,349,15.977554592045559
245,there,4,592,14.739924731464857
246,her,1,1594,18.168907279826378
247,other,1,207,15.22395832333523
248,watch,1,26,12.230911083976999
249,cold,2,96,13.115433866557064
250,far,1,114,14.363361380000647
251,shore,1,12,11.115433866557062
252,wen,1,3,9.115433866557062
253,lake,1,16,11.530471365835906
254,along,2,95,13.100326974166853
255,like,4,475,14.422255069054216
256,gathered,1,10,10.852399460723268
257,leaped,2,44,11.989902984473204
258,surrender,2,5,8.85239946072327
259,our,1,285,15.685289474888013
260,braces,1,1,7.530471365835907
261,went,1,142,14.680218485340589
262,miss,2,464,15.388452360963479
263,keep,1,107,14.271938352237054
264,permit,1,5,9.852399460723268
265,box,1,44,12.989902984473204
266,both,2,115,13.375961416780282
267,side,1,116,14.388452360963479
268,we,1,564,16.6700227182347
269,sponging,1,1,7.530471365835907
270,bounding,1,4,9.530471365835906
271,well,2,296,14.739924731464857
272,had,9,1527,14.937030711190447
273,could,1,679,16.93773913008064
274,whose,1,66,13.57486548519436
275,stables,1,5,9.852399460723268
276,and,33,7349,15.32940948269503
277,him,5,891,15.007824892470467
278,moreover,1,29,12.38845236096348
279,at,8,1445,15.027325143223948
280,another,1,107,14.271938352237054
281,sunk,1,7,10.337826287893511
282,some,3,385,14.534223500697015
283,fangs,1,4,9.530471365835906
284,beheld,2,6,9.115433866557062
285,days,1,61,13.461208703398793
286,with,14,1645,14.406988312400907
287,knew,1,229,15.36967515393285
288,suffered,1,11,10.989902984473204
289,borne,1,9,10.70039636727822
290,know,3,382,14.522937693150498
291,saddle,1,5,9.852399460723268
292,stop,1,50,13.174327555610633
293,ll,1,121,14.449334603110502
294,was,10,2614,15.560586696743979
295,left,1,157,14.825092114727534
296,describe,1,12,11.115433866557062
297,feet,1,60,13.437361961444424
298,sweet,1,85,13.939862301973609
299,a,44,4182,14.101017093788188
300,against,1,57,13.363361380000647
301,gold,1,20,11.85239946072327
302,whip,1,4,9.530471365835906
303,bear,1,57,13.363361380000647
304,away,2,206,14.216971893019126
305,friends,2,33,11.57486548519436
306,chairs,1,7,10.337826287893511
307,foolishly,1,3,9.115433866557062
308,nature,1,94,14.085060217513544
309,wretched,1,9,10.70039636727822
310,fat,1,10,10.852399460723268
311,suddenly,1,61,13.461208703398793
312,life,1,192,15.115433866557064
313,this,3,710,15.417184079506795
314,cora,2,44,11.989902984473204
315,man,1,276,15.638995822614076
316,muff,1,6,10.115433866557062
317,swans,1,4,9.530471365835906
318,between,1,76,13.778398879279493
319,pray,1,27,12.285358867999376
320,were,1,578,16.705397048336586
321,big,2,35,11.659754382780873
322,used,1,67,13.596560556293678
323,must,2,308,14.79725790653081
324,nursery,1,3,9.115433866557062
325,meet,1,22,11.989902984473204
326,into,1,235,15.406988312400907
327,quite,1,215,15.27866421542537
328,as,10,1797,15.019917964458486
329,have,7,1090,14.81322886344259
330,attraction,1,2,8.530471365835908
331,when,2,564,15.670022718234701
332,heart,1,249,15.490473297903987
333,enjoyed,1,9,10.70039636727822
334,murderer,2,36,11.700396367278218
335,noble,3,35,11.074791882059717
336,afeared,1,9,10.70039636727822
337,compared,1,13,11.230911083976999
338,master,1,38,12.778398879279493
339,good,3,339,14.350650328251096
