,Name,Degree,Betweenness centrality,Eigenvector centrality
0,Archbishop,5,0.23671497584541062,0.055653689634266736
1,Bardolph,1,0.0,0.2667508056799658
2,Beadle,5,0.12657004830917873,0.05198035881056817
3,Bullcalf,1,0.0,0.09323687781023995
4,Clarence,2,0.0,0.17057456012754363
5,Coleville,23,0.46593663448735917,0.07408712380136025
6,Davy,8,0.0019024614676788588,0.10474481844526513
7,Doll,12,0.06377903363410609,0.2194931635394334
8,Drawer,2,0.0,0.028045034511117457
9,Falstaff,5,0.1251207729468599,0.4002842103496325
10,Fang,5,0.0178743961352657,0.07629098182333784
11,Feeble,6,0.1497584541062802,0.09323687781023995
12,Francis,3,0.008989223337049424,0.03050336686957909
13,Gloucester,11,0.10262491668288765,0.15945308145425674
14,Gower,2,0.0,0.07732964703705529
15,Groom1,2,0.0,0.0005797022646326335
16,Groom2,5,0.0,0.005167546271925604
17,Groom3,13,0.11830245975173512,0.0454843702339115
18,Harcourt,12,0.029208649643432248,0.023935938956172104
19,Hastings,2,0.0,0.05692704034586597
20,Hostess,2,0.0,0.24386504359236416
21,Justice,2,0.000644122383252818,0.28903688286071144
22,KingHenry,2,0.0014492753623188406,0.21336423044634736
23,LadyNorthld,9,0.05964649950157197,0.00021954474019954837
24,LadyPercy,9,0.04796300854271869,0.00021954474019954837
25,Lancaster,1,0.0,0.26013149457632717
26,LordBardolph,9,0.061600031744959274,0.013178425968197224
27,Messenger,7,0.002700037482646178,0.012623630268538586
28,Moldy,9,0.008212560386473429,0.09323687781023995
29,Morton,4,0.00024154589371980676,0.001673364837862263
30,Mowbray,3,0.0,0.05559772348218351
31,Northumberland,2,0.0,0.0017373217703543526
32,Page,1,0.0,0.2405756640930399
33,Peto,3,0.0,0.03563828577473473
34,Pistol,3,0.0,0.24532084887490746
35,Poins,2,0.0,0.1620788289695481
36,Porter,7,0.021256038647342993,0.0014784524605809108
37,PrinceHenry,13,0.37071785970336707,0.3176809078944469
38,Servant,2,0.0,0.07732964703705529
39,Shadow,6,0.0,0.06331236016723572
40,Shallow,7,0.002700037482646178,0.164088869696009
41,Silence,1,0.0,0.10258332989488851
42,Snare,4,0.00024154589371980676,0.03591568580767161
43,Travers,2,0.0,0.0001949123772813524
44,Wart,1,0.0,0.04490466796927886
45,Warwick,2,0.043478260869565216,0.1705745601275436
46,Westmorland,2,0.08502415458937197,0.11025697373920403
