,Name,Degree,Betweenness centrality,Eigenvector centrality
0,1Citizen,21,0.22005924624649184,2.1944080663413792e-14
1,1Gentleman,18,0.2379469894395268,0.033101108160718935
2,1Messenger,17,0.08034273317516198,0.028436587286877552
3,1Murderer,19,0.19812235229467262,0.02621449653182324
4,1Neighbour,20,0.18875144027789903,0.03126474137647153
5,1Petitioner,11,0.02092900942968786,0.06404409606148077
6,1Prentice,11,0.023914363313956265,0.013949927632612297
7,2Gentleman,9,0.006087079662384953,0.006252464013313664
8,2Messenger,14,0.15802547997256275,0.03311838119924325
9,2Murderer,8,0.0054532946323991105,0.002487117350790876
10,2Neighbour,9,0.05960801221995253,0.004150001855653446
11,2Petitioner,1,0.0,0.08081215655929785
12,2Prentice,2,0.0,0.01968246622607877
13,3Messenger,3,0.0,0.03228582226509663
14,3Neighbour,4,0.0004615616555915064,0.012476271832632018
15,4Messenger,9,0.040273822363374595,0.005329979063782091
16,5Messenger,7,0.05720755198367141,0.03959981238099777
17,Beadle,4,0.06034976631991555,0.043031584376650264
18,Bevis,2,0.028946178199909543,0.007944803142188749
19,Bolingbroke,1,0.0,0.048663456933754845
20,Brother,3,0.0,0.013130717111168679
21,Buckingham,7,0.0077576928323196985,0.26494266902021096
22,Cade,4,0.0,0.056171915958282345
23,Cardinal,1,0.0,0.24326340280277453
24,Clerk,2,0.0,0.01327086055368628
25,Commons,2,0.024634403738881348,0.08218065615015008
26,Dick,2,0.0004522840343735866,0.015379250363061666
27,Duchess,2,0.003859490426654605,0.16280916362355585
28,Edward,2,0.0006784260515603799,0.03087100422699041
29,Gloucester,2,0.0021364207931372104,0.29972201181159663
30,Herald,1,0.0,0.028436587286877552
31,Holland,1,0.0,0.008388448858207415
32,Horner,2,0.0,0.12734979010813008
33,Hume,2,0.0,0.02006386224014781
34,Iden,2,0.0,0.09445649443537446
35,King,2,0.028946178199909543,0.3490658783665117
36,Lieutenant,1,0.0,0.032555216138085666
37,LordClifford,3,0.0,0.1594826721263221
38,Master,1,0.0,0.003464692739967011
39,Mate,5,0.04236393788632595,0.0034173907291800056
40,Mayor,4,0.028116990803557968,0.028436587286877552
41,Michael,2,0.0003769033619779888,0.005329979063782091
42,Peter,2,0.0002261420171867933,0.19350373870945628
43,Post,2,0.0,0.053951024960625864
44,Queen,4,0.013945424393185584,0.32039942784458164
45,Rebels,2,0.0011251098768059419,0.06831024799751283
46,Richard,4,0.0022538821046283733,0.1018368295723327
47,Salisbury,13,0.16016702404083677,0.24330253806305202
48,Saye,5,0.003260320763712894,0.07534353735740924
49,Scales,4,0.0005653550429669833,2.1944080663413792e-14
50,Servant,8,0.0692030763095892,0.028436587286877552
51,Sheriff,3,0.00044286145032413694,0.04388341763675708
52,Simpcox,1,0.0,0.1538317660381514
53,Smith,4,0.001905838269474633,0.008904847060014657
54,Soldier,3,0.0,0.005329979063782091
55,Somerset,7,0.058364698646245466,0.20458610135549726
56,Spirit,1,0.0,0.00465896968965004
57,Stafford,2,0.0,0.013902574131880618
58,Stanley,1,0.0,0.04388341763675708
59,Suffolk,1,0.0,0.2738148056313592
60,Townsman,1,0.0,0.08753350113477566
61,Vaux,1,0.0,0.03039843127582123
62,Warwick,8,0.030384250906638967,0.22620905793245372
63,Whitmore,2,0.0,0.032800883783538674
64,Wife,4,0.022189778787472133,0.09209013775894057
65,Witch,1,0.0,0.00044202705563345477
66,York,2,0.0,0.3253797746618937
67,YoungClifford,5,0.008853004375392435,0.024793280410595794
