,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
58,beth,3,115,11.02030560215869,0.0,1.0,0.0
1950,sincerity,3,7,6.982170473271918,0.0,1.0,0.0
1711,blotted,3,11,7.634247169851611,0.0,1.0,0.0
1713,lived,3,75,10.403634241710193,0.0,1.0,0.0
2004,plenty,3,14,7.9821704732719185,0.0,1.0,0.0
998,negligent,3,4,6.174815551214314,0.0,1.0,0.0
1112,unjust,3,27,8.929703053377782,1.0,0.0,0.0
4310,flattering,3,8,7.174815551214314,0.0,0.0,1.0
2272,lifting,3,12,7.759778051935471,0.0,1.0,0.0
983,purged,3,14,7.9821704732719185,0.0,1.0,0.0
1559,circumcise,3,10,7.4967436461016765,0.0,1.0,0.0
88,prospered,3,21,8.567132973993075,0.0,1.0,0.0
2276,sinneth,3,26,8.875255269355405,0.0,1.0,0.0
1207,content,3,23,8.698377507271326,0.0,1.0,0.0
2275,lean,3,12,7.759778051935471,0.0,1.0,0.0
4315,brightness,3,27,8.929703053377782,0.0,0.0,1.0
3625,pastors,3,8,7.174815551214314,0.0,1.0,0.0
1137,hinder,3,22,8.634247169851612,0.0,1.0,0.0
3770,fellowship,3,21,8.567132973993075,0.0,1.0,0.0
2288,maschil,3,13,7.8752552693554065,0.0,1.0,0.0
1555,abihu,3,12,7.759778051935471,0.0,1.0,0.0
3580,favourable,3,5,6.4967436461016765,0.0,1.0,0.0
1728,terrors,3,17,8.262278392464653,1.0,0.0,0.0
1671,kneeling,3,3,5.75977805193547,0.0,1.0,0.0
1616,grecians,3,8,7.174815551214314,0.0,1.0,0.0
4673,seventeen,3,12,7.759778051935471,0.0,1.0,0.0
979,overthrown,3,26,8.875255269355405,0.0,1.0,0.0
3745,suffered,3,60,10.081706146822832,1.0,0.0,0.0
2290,saidst,3,25,8.81867174098904,0.0,1.0,0.0
4392,occasion,3,27,8.929703053377782,0.0,1.0,0.0
4391,depths,3,21,8.567132973993075,0.0,1.0,0.0
1954,intercession,3,10,7.4967436461016765,0.0,1.0,0.0
3529,rezin,3,11,7.634247169851611,0.0,1.0,0.0
