,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
562,believers,2,116,12.372436282382338,0.0,1.0,0.0
545,lifetime,2,1,5.514455287254765,0.0,1.0,0.0
147,stray,2,23,10.038017243311778,0.0,1.0,0.0
1663,preserve,2,9,8.684380288697078,0.0,1.0,0.0
557,nearness,2,3,7.099417787975921,0.0,1.0,0.0
139,fast,2,20,9.836383382142127,0.0,1.0,0.0
1839,read,2,12,9.099417787975922,0.0,1.0,0.0
564,ingrate,2,2,6.514455287254766,0.0,1.0,0.0
515,knowest,2,15,9.421345882863283,0.0,1.0,0.0
137,christ,2,11,8.973886905892064,0.0,1.0,0.0
573,got,2,10,8.836383382142127,0.0,1.0,0.0
124,strong,2,18,9.684380288697078,0.0,0.0,1.0
1652,days,2,39,10.799857506117014,0.0,1.0,0.0
579,loving,2,4,7.514455287254766,0.0,0.0,1.0
114,holy,2,16,9.514455287254766,0.0,1.0,0.0
311,since,2,4,7.514455287254766,0.0,1.0,0.0
543,job,2,4,7.514455287254766,0.0,1.0,0.0
149,slay,2,32,10.514455287254766,0.0,1.0,0.0
152,asunder,2,17,9.601918128505105,0.0,1.0,0.0
538,sense,2,11,8.973886905892064,0.0,1.0,0.0
537,wests,2,1,5.514455287254765,0.0,1.0,0.0
536,stakes,2,2,6.514455287254766,0.0,1.0,0.0
153,restricting,2,1,5.514455287254765,1.0,0.0,0.0
534,duly,2,3,7.099417787975921,0.0,1.0,0.0
1834,receiving,2,4,7.514455287254766,0.0,1.0,0.0
1672,heavy,2,19,9.76238280069835,0.0,1.0,0.0
528,gain,2,20,9.836383382142127,0.0,0.0,1.0
1833,completed,2,7,8.32181020931237,0.0,1.0,0.0
157,ordered,2,9,8.684380288697078,0.0,1.0,0.0
161,precepts,2,2,6.514455287254766,0.0,1.0,0.0
165,prophets,2,23,10.038017243311778,0.0,1.0,0.0
166,exchange,2,7,8.32181020931237,0.0,1.0,0.0
444,exhausted,2,2,6.514455287254766,1.0,0.0,0.0
441,infirm,2,2,6.514455287254766,0.0,1.0,0.0
110,destruction,2,16,9.514455287254766,1.0,0.0,0.0
1795,miserable,2,11,8.973886905892064,1.0,0.0,0.0
354,change,2,31,10.46865159764164,0.0,1.0,0.0
1787,brothers,2,18,9.684380288697078,0.0,1.0,0.0
359,simply,2,3,7.099417787975921,0.0,1.0,0.0
271,attain,2,14,9.32181020931237,0.0,1.0,0.0
1747,expect,2,6,8.099417787975922,0.0,1.0,0.0
362,living,2,23,10.038017243311778,0.0,1.0,0.0
263,aside,2,11,8.973886905892064,0.0,1.0,0.0
351,earned,2,24,10.099417787975922,0.0,1.0,0.0
262,clean,2,13,9.214895005395856,0.0,0.0,1.0
366,toiling,2,2,6.514455287254766,0.0,1.0,0.0
1744,worshipping,2,4,7.514455287254766,0.0,0.0,1.0
369,faithfully,2,5,7.836383382142128,0.0,0.0,1.0
261,succeed,2,3,7.099417787975921,0.0,0.0,1.0
260,forbid,2,17,9.601918128505105,1.0,0.0,0.0
352,progeny,2,12,9.099417787975922,0.0,1.0,0.0
350,father,2,57,11.347345301419507,0.0,1.0,0.0
1713,setting,2,6,8.099417787975922,0.0,1.0,0.0
1782,surety,2,13,9.214895005395856,0.0,0.0,1.0
1775,hadst,2,8,8.514455287254764,0.0,1.0,0.0
317,happiness,2,4,7.514455287254766,0.0,0.0,1.0
1767,promised,2,46,11.038017243311778,0.0,0.0,1.0
1765,doom,2,3,7.099417787975921,1.0,0.0,0.0
327,thought,2,24,10.099417787975922,0.0,1.0,0.0
299,liar,2,10,8.836383382142127,1.0,0.0,0.0
336,belongeth,2,14,9.32181020931237,0.0,1.0,0.0
280,unblest,2,2,6.514455287254766,0.0,1.0,0.0
337,dealt,2,13,9.214895005395856,0.0,1.0,0.0
291,granteth,2,6,8.099417787975922,0.0,1.0,0.0
341,fixed,2,16,9.514455287254766,0.0,1.0,0.0
289,decreed,2,16,9.514455287254766,0.0,1.0,0.0
1753,protection,2,9,8.684380288697078,0.0,1.0,0.0
287,warner,2,33,10.558849406613218,0.0,1.0,0.0
1798,chastisement,2,7,8.32181020931237,0.0,1.0,0.0
257,wit,2,1,5.514455287254765,0.0,1.0,0.0
372,hot,2,3,7.099417787975921,0.0,1.0,0.0
426,pay,2,18,9.684380288697078,1.0,0.0,0.0
410,heartedly,2,2,6.514455287254766,0.0,1.0,0.0
1807,handsome,2,5,7.836383382142128,0.0,0.0,1.0
